TANGGAL,BULAN,TAHUN,TINGGI MUKA AIR
12,JULI,2019,"3,26"
13,JULI,2019,"3,02"
14,JULI,2019,"3,21"
15,JULI,2019,"3,58"
16,JULI,2019,"3,51"
17,JULI,2019,"3,19"
18,JULI,2019,"2,92"
19,JULI,2019,"2,73"
20,JULI,2019,"2,58"
21,JULI,2019,"2,48"
22,JULI,2019,"2,38"
23,JULI,2019,"2,36"
24,JULI,2019,"2,44"
25,JULI,2019,"2,35"
26,JULI,2019,"2,43"
27,JULI,2019,"2,32"
28,JULI,2019,"3,04"
29,JULI,2019,"4,96"
30,JULI,2019,"4,56"
31,JULI,2019,"3,62"
1,AGS,2019,"3,75"
2,AGS,2019,"4,15"
3,AGS,2019,"3,84"
4,AGS,2019,"4,12"
5,AGS,2019,"3,88"
6,AGS,2019,"3,30"
7,AGS,2019,"3,17"
8,AGS,2019,"2,53"
9,AGS,2019,"2,25"
10,AGS,2019,"2,05"
11,AGS,2019,"1,87"
12,AGS,2019,"1,93"
13,AGS,2019,"1,93"
14,AGS,2019,"1,95"
15,AGS,2019,"2,01"
16,AGS,2019,"2,08"
17,AGS,2019,"2,27"
18,AGS,2019,"2,53"
19,AGS,2019,"2,52"
20,AGS,2019,"2,46"
21,AGS,2019,"4,32"
22,AGS,2019,"6,89"
23,AGS,2019,"6,42"
24,AGS,2019,"4,97"
25,AGS,2019,"4,41"
26,AGS,2019,"4,24"
27,AGS,2019,"4,18"
28,AGS,2019,"5,47"
29,AGS,2019,"6,28"
30,AGS,2019,"5,61"
31,AGS,2019,"5,02"
1,SEP,2019,"4,22"
2,SEP,2019,"3,65"
3,SEP,2019,"3,71"
4,SEP,2019,"3,88"
5,SEP,2019,"3,53"
6,SEP,2019,"3,14"
7,SEP,2019,"2,72"
8,SEP,2019,"2,45"
9,SEP,2019,"2,33"
10,SEP,2019,"2,24"
11,SEP,2019,"2,25"
12,SEP,2019,"2,23"
13,SEP,2019,"2,17"
14,SEP,2019,"2,16"
15,SEP,2019,"2,24"
16,SEP,2019,"2,33"
17,SEP,2019,"2,25"
18,SEP,2019,"2,15"
19,SEP,2019,"2,09"
20,SEP,2019,"2,04"
21,SEP,2019,"1,97"
22,SEP,2019,"1,85"
23,SEP,2019,"1,78"
24,SEP,2019,"1,92"
25,SEP,2019,"1,88"
26,SEP,2019,"1,83"
27,SEP,2019,"1,88"
28,SEP,2019,"1,93"
29,SEP,2019,"2,00"
30,SEP,2019,"2,13"
31,SEP,2019,
1,OKT,2019,"2,38"
2,OKT,2019,"2,74"
3,OKT,2019,"3,23"
4,OKT,2019,"3,13"
5,OKT,2019,"3,08"
6,OKT,2019,"3,83"
7,OKT,2019,"5,72"
8,OKT,2019,"5,01"
9,OKT,2019,"4,51"
10,OKT,2019,"4,27"
11,OKT,2019,"4,66"
12,OKT,2019,"4,83"
13,OKT,2019,"4,74"
14,OKT,2019,"4,19"
15,OKT,2019,"4,07"
16,OKT,2019,"3,90"
17,OKT,2019,"4,28"
18,OKT,2019,"4,55"
19,OKT,2019,"4,51"
20,OKT,2019,"4,37"
21,OKT,2019,"4,11"
22,OKT,2019,"3,82"
23,OKT,2019,"3,39"
24,OKT,2019,"3,01"
25,OKT,2019,"2,69"
26,OKT,2019,"2,55"
27,OKT,2019,"2,51"
28,OKT,2019,"3,46"
29,OKT,2019,"4,53"
30,OKT,2019,"5,71"
31,OKT,2019,"5,36"
1,NOV,2019,"4,61"
2,NOV,2019,"5,51"
